"",0001.zip

"","1. 찾은 자료 내에 있는 그림이나 표의 자료내 위치(쪽번호)와 표와 그림을 설명하는 캡션(주석)을 적습니다.
북한의 최근 에너지 동향과 재생에너지 확대 움직임,글,글,북한 재생에너지 관련 최근 동향,웹페이지
시설 현대화ㆍ신재생에너지 추진…대북 전력사업 잰걸음,그림,그림,북한 발전사업 현황,영상 0:27
시설 현대화ㆍ신재생에너지 추진…대북 전력사업 잰걸음,인터뷰,인터뷰 인용,"북한전력 개선위해 노후설비, 송전망현대화 추진",영상 0:46
시설 현대화ㆍ신재생에너지 추진…대북 전력사업 잰걸음,그림,그림,북한내 화력발전소 건립방안,영상 1:09
시설 현대화ㆍ신재생에너지 추진…대북 전력사업 잰걸음,그림,그림,신재생에너지 발전 혜택,영상 1:32

"",0003.zip

"","1. 찾은 자료 내에 있는 그림이나 표의 자료내 위치(쪽번호)와 표와 그림을 설명하는 캡션(주석)을 적습니다.
2. 표와 그림의 캡션이 없는 경우, 본문의 내용을 보고 간단히 설명을 적오주세요."
제목(반드시 요약문 양식에 입력한 제목과 같아야 함.),표/그림 일련번호,"자료유형(표,그림,…)",자료에 나온 표나 그림 설명(캡션),자료가 나온 쪽번호
北인구 25% 의료 '사각지대'…대북제재로 의료품 수입 '뚝',"(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 자료: WHO. (2016). WHO Country Cooperation Strategy Democratic People’s Republic of Korea 2014-2019. pp. 36-45. ",표,<표 1> WHO 보건의료 부문 대북 지원 전략(2014~2019) 방향 개요 (기사의 내용 원 출처: http://researcher.kihasa.re.kr/handle/201002/31829),7.0
세션 3 : 패널 13 북한의 보건과 복지: 남북 민생협력 ; 탈북민 보건 의료 이용 현황 및 통일 대비 과제,"(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다)  출처 : 국립중앙의료원 북한이탈주민 진료 기록 자료를 토대로 작성 ",표,"<표 1> 북한이탈주민 초진 시 연령 및 성별 분포 ",168.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다)  출처 : 국립중앙의료원 북한이탈주민 진료 기록 자료를 토대로 작성 ",그림,"<그림 1> 북한이탈주민 외래 및 입원 진료 연인원 상위 10개과 순위(2016.6∼2015.7) ",169.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다)  출처 : 국립중앙의료원 북한이탈주민 진료 기록 자료를 토대로 작성 ",그림,"<그림 2> 북한이탈주민 외래 및 입원 진료 실인원 상위 10개과 순위(2016.6∼2015.7) ",170.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다)  출처 : 국립중앙의료원 북한이탈주민 진료 기록 자료를 토대로 작성 ",표,"<표 2> 외래 연인원 상위 5개 진료과의 주요 진료 병명 ",171.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다)  출처 : 국립중앙의료원 북한이탈주민 진료 기록 자료를 토대로 작성 ",표,"<표 3> 입원 연인원 상위 5개 진료과의 주요 진료 병명 ",172.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 출처 : 이소희 등,  북한이탈주민의 병의원 인식도 개선 지침서 개발  (서울: 국립중앙의료원, 2013)",표,"<표 4> 북한이탈주민과 일반남한주민 신체화 증상 비교 ",173.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 출처 : 이소희 등,  북한이탈주민의 병의원 인식도 개선 지침서 개발  (서울: 국립중앙의료원, 2013)",표,<표 5> 북한이탈주민과 일반남한주민 사회적지지,173.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 출처 : 이소희 등,  북한이탈주민의 병의원 인식도 개선 지침서 개발  (서울: 국립중앙의료원, 2013)",표,<표 6> 북한이탈주민 연령군별 사회적 지지 비교,174.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 출처 : 이소희 등,  북한이탈주민의 병의원 인식도 개선 지침서 개발  (서울: 국립중앙의료원, 2013)",그림,"<그림 3> 재북 당시 약품 획득 방법 ",175.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 출처 : 이소희 등,  북한이탈주민의 병의원 인식도 개선 지침서 개발  (서울: 국립중앙의료원, 2013)",그림,"<그림 4> 남한 입국 후 재북 및 재중 당시 약 복용 여부 ",175.0
"","(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 출처 : 이소희 등,  북한이탈주민의 병의원 인식도 개선 지침서 개발  (서울: 국립중앙의료원, 2013)",그림,"<그림 5> 원할 때 병·의원에 가지 못한 이유 ",176.0
북한의 보건문제에 대한 세계보건기구의 접근전략 및 시사점,(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 세계보건기구,표,"표 1. 고위험집단을중심으로한 사망률과이환율의감소를위한과제, 기회요인,W HO 중점지원사업 ",87.0
"",(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 세계보건기구,표,"표 2. 건강한 생활양식의 권장 및 건강위험요인 감소를 위한 과제, 북한의 기회요인 W HO 중점 지원사업 : 비전염성 질환 관리 ",89.0
"",(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 세계보건기구,표,"표3.건강한생활양식권장및건강위험요인감소를위한과제,기회요인,W HO중점지원사업:수혈및 식품 안정성 ",89.0
"",(표의 일련번호를 알 수 없어 표의 원 출처를 남깁니다) 세계보건기구,표,"표4.보건의료체계복구및향상을위한과제,기회요인,W HO중점지원사업 ",89.0

"",0004.zip

"","1. 찾은 자료 내에 있는 그림이나 표의 자료내 위치(쪽번호)와 표와 그림을 설명하는 캡션(주석)을 적습니다.
2. 표와 그림의 캡션이 없는 경우, 본문의 내용을 보고 간단히 설명을 적오주세요."
제목(반드시 요약문 양식에 입력한 제목과 같아야 함.),표/그림 일련번호,"자료유형(표,그림,…)",자료에 나온 표나 그림 설명(캡션),자료가 나온 쪽번호
북한 농업개혁이 북한 GDP에 미치는 영향,1.0,그림,북한의 1인당 명목 GDP 추이,1.0
북한 농업개혁이 북한 GDP에 미치는 영향,2.0,표,"북한 곡물 생산량 ",1.0
북한 농업개혁이 북한 GDP에 미치는 영향,3.0,표,농업 부문 경제관리개선조치 비교,2.0
북한 농업개혁이 북한 GDP에 미치는 영향,4.0,표,중국의 가정연산승포책임제,3.0
북한 농업개혁이 북한 GDP에 미치는 영향,5.0,그림,중국 1차 산업 부가가치 및 GDP 증감률 추이,3.0
북한 농업개혁이 북한 GDP에 미치는 영향,6.0,그림,북한의 2000~2014년 부문별 평균 GDP 비중(한국 원 기준),4.0
북한 농업개혁이 북한 GDP에 미치는 영향,7.0,그림,농업개혁 후 북한 GDP 변화,4.0
"북한 식량난: 북, 최악의 식량부족…'100만 톤 이상 부족, 아사자 발생 가능성 커'",1.0,그림,북한은 지난해 극심한 폭염으로 옥수수와 벼 작황에 큰 타격을 받은 것으로 알려짐,1.0
"북한 식량난: 북, 최악의 식량부족…'100만 톤 이상 부족, 아사자 발생 가능성 커'",2.0,그림,지난 2016년 옥수수 가공공장 시찰에 나선 북한 김정은 위원장,1.0
북한의 농업부문 시장화 실태와 전망,1.0,표,북한 주요 시장에서 농산물 판매 매대 면적 비중,12.0

"",0005.zip

"","1. 찾은 자료 내에 있는 그림이나 표의 자료내 위치(쪽번호)와 표와 그림을 설명하는 캡션(주석)을 적습니다.
2. 표와 그림의 캡션이 없는 경우, 본문의 내용을 보고 간단히 설명을 적오주세요."
제목(반드시 요약문 양식에 입력한 제목과 같아야 함.),표/그림 일련번호,"자료유형(표,그림,…)",자료에 나온 표나 그림 설명(캡션),자료가 나온 쪽번호
북한 보건의료체계의 형성과 특징,<표 1>,표,북한 보건 사업비 증가율(1960년-1973년),18쪽
북한 보건의료체계의 형성과 특징,<표 2>,표,북한 의료 시설 및 인력 성장 현황(1946-93년),19쪽
북한 보건의료체계의 형성과 특징,<표 3>,표,남한의 의료 시설 및 인력 성장 현황(1953-90년),21쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 1>,표,북한의 농업관리 변천과정,7쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 2>,표,북한의 년도별 비료 사용량(2010-2013),8쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 3>,표,2000년대 북한 경제성장률과 산업별 성장률,9쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 4>,표,북한의 농업부문 인구 변화,9쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 5>,표,북한의 토지 및 경지면적,11쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 6>,표,북한의 경지면적과 농가호당경지면적,12쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 7>,표,북한의 화학비료 수금(2008~2012년),13쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 8>,표,북한의 트랙터 보유 규모,14쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 9>,표,북한 농업부문의 연료소비 규모,14쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 10>,표,북한의 대규모 관개수로 조성(1999~2009),15쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 11>,표,북한의 관개농지 현황,15쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 12>,표,북한의 곡물 생산량(FAO),16쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 13>,표,2012/13년과 2011/12년 식량작물 생산량 비교 (FAO/WFP),17쪽
"김정은시대의 북한농업정책, 그 과제와 전망",<표 14>,표,중국의 1980년대 초반 개혁과 북한의 개혁조치 비교,19쪽


