"",0001.zip
제목,요약문 (300자 내외),"핵심어
(keyword,쉽표로 구분)",조회날짜,"실제자료조회
출처 (웹자료링크)",원출처 (기관명 등),"제작자
(Copyright 소유처)"
시설 현대화ㆍ신재생에너지 추진…대북 전력사업 잰걸음,"북한에는 60개가 넘는 대형 수력·화력발전소가 있지만 설비용량은 우리의 14분의 1에 불과합니다. 남북 경협을 위해 북한의 전력난 해소가 무엇보다 시급한 만큼 우선 과제로 다뤄질 가능성이 큽니다. 당장 노후 설비 지원과 송전망 연계사업 등이 논의될 것으로 보입니다. ","시설현대화, 재생에너지",18.06,https://www.youtube.com/watch?v=2GUKDTlRutY,배삼진 기자,통계청
시설 현대화ㆍ신재생에너지 추진…대북 전력사업 잰걸음," ""북한의 발전소 시설이나 송배전 설비를 현대화하는 것만으로도 50% 정도의 전력 개선 효과가 있습니다. 이런 것을 통해서 중국, 러시아의 에너지 의존도를 낮출 수 있다고…"" ","시설현대화, 재생에너지",18.06,https://www.youtube.com/watch?v=3GUKDTlRutY,배삼진 기자,권칠승 더민주의원
시설 현대화ㆍ신재생에너지 추진…대북 전력사업 잰걸음,"비무장지대 일대에 500MW급 복합화력발전소 건립이나 해주와 원산, 김책 등에 석탄화력발전소를 건설하는 안도 나왔습니다. 북한에서 대량 생산되는 무연탄을 국내로 수입한 뒤 동해화력발전소를 통해 전기를 역수출하는 방안도 구상중입니다. 수자원공사는 북한의 수력발전소 현대화나 풍력·태양광 발전 등을 지원할 수 있다는 입장을 밝혔습니다. 신재생에너지 발전은 당장 도시주변에 설치할 수 있어 대단위 송전설비가 필요하지 않다는 게 장점입니다.  ","시설현대화, 재생에너지",18.06,https://www.youtube.com/watch?v=4GUKDTlRutY,배삼진 기자,배삼진 기자
시설 현대화ㆍ신재생에너지 추진…대북 전력사업 잰걸음," ""다른 발전시설에 비해 설치 기간이 짧고 바로 전력을 생산할 수 있다는 장점이 있어 북한의 전력사정을 개선하는데 도움이…"" 장기적으로 업계는 러시아와 몽골의 풍부한 에너지를 활용해 전력을 생산한 뒤 북한과 연계해 한국과 중국, 일본에 공급하는 동북아 슈퍼그리드 구축을 추진할 계획입니다.","시설현대화, 재생에너지",18.06,https://www.youtube.com/watch?v=5GUKDTlRutY,배삼진 기자,배삼진 기자


"",0003.zip
제목,요약문 (300자 내외),"핵심어
(keyword,쉽표로 구분)",조회날짜,"실제자료조회
출처 (웹자료링크)",원출처 (기관명 등),"제작자
(Copyright 소유처)"
北인구 25% 의료 '사각지대'…대북제재로 의료품 수입 '뚝',"북한 인구 4명 중 1명은 필수 의료서비스를 받지 못하고 어린이 170만명은 치명적인 질병으로부터 위협받는 상황에서 대북 제재 이후 의약품 공급 등에 어려움을 겪는 것으로 나타났다. 또한, 북한에서 출산시 모성사망률이 매우 높다고 한다. 항생제나 기초의약품이 부족하고 산원 내 장비와 시설의 낙후로 인하여 수혈, 감염예방, 합병증 관리가 부실하기 때문이다. 이를 위해, 의료용품을 수입해야하지만 현재 대북제재로 인해 수입에 차질이 생겨 어려움을 겪고 있다. 연구진은 ""북한이 국제사회에서 정상 국가로 자리매김해야하며 앞으로의 남북 보건의료 교류 및 협력은 단순 구호활동보다 중장기적인 관점에서 교류가 필요하다”고 이야기한다.","필수 의료서비스, 모성사망률, 의약품 공급, 대북제재로 인한 의료품 수입의 어려움",43586.0,http://www.newsis.com/view/?id=NISX20190422_0000628420,NEWSIS,한국보건사회연구원. 조성은
세션 3 : 패널 13 북한의 보건과 복지: 남북 민생협력 ; 탈북민 보건 의료 이용 현황 및 통일 대비 과제,"북한이탈주민은 높은 의료 수요, 높은 신체 증상에도 불구하고 연간미치료율이 44. 5%에 달하고 그 이유에 대해서는 ``경제적 이유``가 연간미치료자의 47.7%로 가장 높아 이들에 대한 의료 지원이 필수적이다. 향후 북한이탈주민의 건강관리체계를 구축하여 감염병이나 만성질환이 치료가 중단되지 않도록 관리되어야 하고 건강 코호트 연구를 통한 근거자료 및 특히 아동청소년의 정신건강에 대해서도 종 단면적 연구가 필요하다. 또한 통일을 대비하여 공공 보건 의료 영역의 자원 확보 및 준비가 필요하고 다양한 공공 의료 사업과의 연계체계를 통하여 통일한국의 공공 보건 의료 체계 구축의 기반을 마련하여야 할 것이다.","북한이탈주민, 공공보건의료, 코호트, 건강, 통일",43592.0,http://kiss.kstudy.com/thesis/thesis-view.asp?key=3387839,북한연구학회,북한연구학회
북한의 보건문제에 대한 세계보건기구의 접근전략 및 시사점,"세계보건기구가 제시한 향후 2008년까지 대북 보건사업 전략은 고위험 집단을 중심으로 한 사망률 및 이환율의 감소, 건강생활 습관의 권장 및 건강 위험 요인의 감소, 보건의료체계복구 및 향상을 위한 제반사업 연계실시, 정책구상과 집행 가능한 제도적 여건 조성 등이다. 추진하여야 할 과제는 결핵과 말라리아, 예방접종 및 백신, 흡연규제 등이다. 이에 국내에서는 국제 기구와의 다자협력적 관계형성을 위한 전략 마련이 요구되며, 세계보건기구가 제시한 대북 추진과제들을 중심으로 국내 대북 사업단체들의 사업추진 역량평가할 필요성이 있다. 더나아가 대북보건사업의 실효성을 제고하고 대북보건정책의 일관성을 유지해야한다.","세계보건기구, 대북 보건의료 정책, WHO 중점 지원사업",43592.0,http://repository.kihasa.re.kr/handle/201002/5086,한국보건사회연구원,한국보건사회연구원


"",0004.zip
제목,,"핵심어
(keyword,쉽표로 구분)",조회날짜,"실제자료조회
출처 (웹자료링크)",원출처 (기관명 등),"제작자
(Copyright 소유처)"
북한 농업개혁이 북한 GDP에 미치는 영향,"북한은 2015년부터 농업개혁을 시행할 예정인데 가장 중요한 내용은 생산체제가 기존 4~6명의 분조단위 관리제에서 가족단위 자율경영제로 바뀌고, 생산 분배도 기존 생산량의 70%를 국가가 가져가는 방식에서 국가가 40%만 가져가고 개인이 60%를 가져가게된다. 또한 토지도 가족 1명 당 땅 1,000평 지급 예정이다. 이런 농업개혁을 통해 북한의 GDP는 개혁 1년차에 7.5% 정도 성장할 것으로 추정된다. 이처럼 뚜렷한 GDP 성장 효과를 거둘 수 있다면 북한 경제는 농업개혁 9년 후 2013년 GDP 30조 원 의 2배 규모인 63조 원(이상, 한국 원 기준)을 달성할 수 있을 것으로 전망된다.",농업개혁,2019.05.10,http://www.hri.co.kr/upload/publication/201492681418[1].pdf,현대경제연구원,현대경제연구원
"북한 식량난: 북, 최악의 식량부족…'100만 톤 이상 부족, 아사자 발생 가능성 커'","식량 작황 조사에 따르면 2018~2019년 북한의 곡물 생산량은 417만t이다. 이는 전년도 470t보다 50만t이상 감소했다. 북한의 식량 부족 원인은 3가지 인데 첫째, 인구에 비해 절대적으로 농지의 규모가 부족하다. 둘째, 경기 침체로 식량 생산에 필요한 화학 비료 등 자재가 충분히 공급되지 못하고 있다. 셋째, 집단 영농으로 인해 생산성이 낮다. 이 밖에도 2018년의 가뭄과 폭염으로 인한 농업 생산성 하락이 큰 영향을 미쳤다. 앞서 지난 3일 유엔 식량농업기구(FAO)와 세계식량계획(WFP)은 올해 북한의 식량 사정이 최근 10년간 최악이며 긴급 식량부족 해결을 위해서는 100만t 이상의 외부 지원이 필요하다고 밝혔다.",식량부족,2019.05.10,https://www.bbc.com/korean/news-48196424,BBC News,BBC News
북한의 농업부문 시장화 실태와 전망,"김정은 정권 출범 이후 북한은 사회주의 계획경제의 근간을 유지하면서도 시장을 매개로 하는 경제운영 시스템을 강화하는 추세이다. 북한의 농업 부문 시장화 동향을 장마당의 양적 확대, 시장의 기능적 분화, 시장을 매개로 하는 경제운영 시스템의 확장, 시장을 통한 재정 수입확대 등 네 가지 특징으로 구분하여 살펴볼 수 있다. 특히 협동농장의 조직을 작업반과 작업분조 방식에서 분조관리제의 틀 내의 포전담당책임제로 바꾼 것이 변화의 큰 특징이다. 또한 협동농장이 제한적이긴 하지만 자체 계획권, 농장의 탄력적인 소득 분배권 및 자금 조달권, 잉여 농산물의 판매권 및 가격 제정권, 농장 조직의 조정권, 농장의 자체 조달 자금을 통한 설비 투자권, 공예 농산물의 무역권 등을 가지고 있다.",농업부문 시장화,2019.05.10,https://www.sonosa.or.kr/HAi/2018/02/down/2018_022.pdf,남북교류협력지원협회,남북교류협력지원협회


"",0005.zip
제목,요약문 (300자 내외),"핵심어
(keyword,쉽표로 구분)",조회날짜,"실제자료조회
출처 (웹자료링크)",원출처 (기관명 등),"제작자
(Copyright 소유처)"
북한 보건의료체계의 형성과 특징,"북한은 해방직후부터 보건의료분야에 대해 적극적으로 투자하였으며, 무상치료제(사회 보험법에 따른 무상치료제, 전반적 무상치료제, 완전한 전반적 무상치료제), 의사담당구역제(예방치료기관들과 의사들에게 사람들이 살며 일하는 일정한 구역을 나누어 맡기고 그곳에 늘 나가서 주민들의 건강을 책임적으로 돌보도록 제도화 한것, 공산주의적 요소를 풍부히 가지고 있는 가장 선진적인 의료봉사제도), 예방의학(사회주의 의학은 예방의학), 고려의학(한의학의 북한식 표현) 등을 핵심으로 하는 독자적인 보건의료체계를 구축하였다.  그 결과 1980년대까지 북한의 보건의료 시설과 인력의 양적 수준은 매우 높았으며, 보건의료 지표도 비교적 양호하였다. 그러나 양호 상태임에도 불구하고, 1990년대 이후부터 북한의 보건의료체계는 마비상태에 빠지게 되었는데 이는 심각한 경제난이 원인이라고 할 수 있다. 경제난을 통해서 선진적인 의료 장비와 기술의 도입이 중단되었고, 기본적인 의약품마저 공급할 수 없는 상태에 이르게 된것이다. 각종 지표에서도 세계 최저 수준으로 떨어지게 되었다. 이는 북한의 경제적 문제 뿐만 아니라, 북한의 보건의료체계 자체의 문제점 때문이라고 할 수 있다. 북한의 보건의료체계는 국가의 공급능력과 의지에 전적으로 의존하도록 되어있는데, 그러한 능력을 상실할 경우 보건의료체계 자체가 전혀 작동할 수 없도록 디자인 되어있기 때문이다. 즉 현재 북한은 지나친 국가 중심의 보건의료체계로 인해 자생력을 갖지 못한 북한의 보건의료체계의 문제점을 단적으로 보여준다고 할 수 있다. 이 논문의 연구는 북한의 보건의료에 대한 구상과 그 구축 과정의 역사를 추적함과 동시에 북한식 보건의료 체계의 성공과 그 실패의 원인을 분석하려고 하는 것이다. 따라서 현 시점에서는 국가의 공급능력을 확대함과 아울러 외부의 선진적인 장비와 기술, 그리고 의약품 도입의 최대화하는 노력이 필요하다.","북한, 보건의료, 성과지표, 무상치료제, 의사담당구역제, 예방의학, 고려의학",2019.05.01,http://kiss.kstudy.com/thesis/thesis-view.asp?key=3381960,평화문제연구소,이성봉
"김정은시대의 북한농업정책, 그 과제와 전망","북한의 농업관리방식은 도농촌경리위원회가 생산 계획지표를 작성하여 내각 농업성에 승인을 받으면 각 생산단위에서 생산목표를 할당하는 형태이다. 1990년대 장기적인 경기침체기를 거치면서 비료, 농약, 농기계부품, 농업용 유류 등의 부족으로 농업생산성이 크게 저하되었다. 한편 2000년대 들어 생산기반 확충을 위하여 토지 정리사업과 관개체계 개선사업을 추진하였으며 2모작 재배면적의 확대를 도모하였으나 만성적인 식량부족과제를 해결하지 못하고 있는 실정이다. 북한은 2012년 6월 28일 '우리식의 새로운 경제관리체계를 확립할 데 대하여' 라는 농업 분야의 개혁조치를 담은 6.28방침을 공표하였다. 그 핵심 내용은 분조원 규모의 축소, 영농자금의 선지원, 국가와 농민간의 수확물 정율분배(7:3), 농민 분배몫의 자율 처분 등이다. 북한은 과거에도 농업개혁을 시도하였으나 큰 성과를 거두지 못하였으며 그 주된 원인이 강력한 증산 인센트비를 뒷받침하지 못했기 때문이다. 집단농장제의 구조적 문제를 외면하면서 농업시책의 부분적 변화만으로 식량문제를 해결할 수 없는 현실이다. 국내 식량생산 증대와 식량안보 향상을 위해 북한 당국은 많은 정책적 노력을 기울여야 할 필요가 있다. 이에 관해 국제기구는 단기적으로 다음과 같은 정책을 펼칠 것을 권고하고 있다. 첫째, 대두, 어류 등 고단백질 식품 생산과 공급을 늘리는 일이다. 현재 북한에서 대두의 생산이 매우 부족한 현실이기 때문에 새로운 전략을 짜낼 필요가 있다. 둘째, 이모작 프로그램을 실질적으로 활성화하는 것이다. 북한에서는 지난 몇년동안 밀, 보리, 감자와 같은 봄작물의 생산이 감소했는데, 주 요인으로는 봄의 변덕스러운 기상과 함께 비료, 비닐시트, 연료, 예비부품등 주요 농자재 부족 및 기계 동력의 부족이 있다. 따라서 이모작 전략을 전체적으로 다시 구성해야함과 동시에 비용과 편익에 대한 검토가 이루어져야 할 것이다. 셋째는, 텃밭과 같은 개별 경작지에 대한 지원이다. 이 부문에 대한 지원사업을 추진할 것을 권고해야 하는데 이를 위해서 우량종자, 비료, 살충제 등 농자재 지원과 생산성 향상을 위한 기술 교육 등이 필요할 것이다. 앞으로 장기적으로 바라볼 때는 농업생산 증대를 위한 개혁조치를 시행하여야 한다. 이를 위해 만성적 식량부족 현상을 극복하기 위해 근본적 농업부문 개혁을 통해 농업 생산성을 향상시켜야 한다. 북한은 농업개혁을 위해 우선적으로 가족농 제도를 도입하고 수매제도 개혁을 시행하여 인센티브 제고와 농민 근로의욕 증대를 통해 농업생산량을 증대시켜야 할 것이고, 대외 관계 개선을 통한 농업부문의 국제협력을 확대해야한다. 즉, 북한 당국은 침체된 남북경협의 활성화와 국제사회와의 관계개선을 통해 농업부문에서 국제협력을 강화해야 할 것이다. 이러기 위해서는 북한은 장거리 로켓 발사시험과 핵실험등 북핵 문제를 해결해야 남북간의 교류가 완만해져서 우리 정부 및 관련국들이 북한의 식량난 해소와 농업발전을 위해 지원을 추진 할 것이다.","김정은정권, 6.28방침, 북한농업, 농업정책, 경제개혁, 집단농장제, 식량난",2019.05.01,http://kiss.kstudy.com/thesis/thesis-view.asp?key=3203263,북한연구학회,임상철
"[클로즈업 북한] ""태양광에 풍력발전도""…북한 전력 실태는?","북한의 전력난은 어제 오늘의 이야기가 아니다. 현재 북한은 만성적인 전력난을 극복하기 위해 북한 당국이 강조하는 것이 태양열로 대표되는 재생에너지의 개발이다. 그러나 2044년 까지 재생에너지 발전설비 용량을 최고 수준으로 끌어올리겠다는 북한의 계획이 실현 가능성이 있는지 [클로즈업 북한]에서 북한의 전력난과 재생 에너지 개발 실태를 분석하였다. 통신국 건물들을 보면 건물마다 설치되어 있는 태양열을 모으는 태양광 전지판이 빼곡하게 있는 것을 알 수 있다. 현재 사용하고 있는 그 전력을 태양열을 통해 얻은 전력으로 24시간 사용하고 있고, 이 외에 저장된 열과 온수를 이용하면서 채소재배와 물고기 양식도 가능하다고 한다. 평양제사공장에서는 태양열 뿐만 아니라 풍력에너지까지 활용한다고 한다. 이와 같은 북한 재생에너지의 성장 배경에는 만성적인 전력난인 상황이 있었다는 전문가들의 공통된 의견도 있다. 통상적인 재생에너지의 주목적이 지속가능한 발전, 환경 보존이라면, 북한의 경우 재생에너지의 주 목적은 절대적ㅇ로 부족한 전력 확보의 자구책으로 재생에너지를 개발하고 있다는 것이다. 밤에 위성에서 바라본 한반도에는 모두 암흑이나 유독 평양만이 반짝임을 알 수 있는데, 이는 북한의 전력 현실이 나타나는 사실이다. 낙차가 크고 유량이 풍부한 하천과 방대하게 매장된 석탄 자원을 바탕으로 수력과 화력 발전이 주를 이루고 있지만 발전 설비의 이용률은 모두 30%수준으로 남한의 70~80%의 발전 설비 이용률을 유지하는 것에 비하면 크게 떨어지는 상황이다. 2017년 현재, 북한에서 생산된 전력량은 235억kWh인데 이는 남한의 1/24 수준으로 절대적으로 전력이 부족한 현실이다. 또한 노후된 발전소들의 제대로 된 개보수 공사가 진행되지 않았음은 물론이고, 새롭게 건설하고 있는 발전소들도 완성도가 떨어진다. 그렇기 때문에 김정은 위원장은 전력난 해결을 위한 방편으로 재생에너지 개발에 박차를 가하고 있는 모습이다. 2013년 집권 1년 차에는 '재생 에네르기법'을 제정했고, 36년만에 열린 당대회에서도 그 활용을 확대하라고 재차 강조했다. 김정은 위원장 집권 8년차를 맞은 지금은 평양과 인근지역 뿐만 아니라 지방의 대부분 가정에서도 태양광 에너지를 사용한다. 그러나 가정용 태양광 전지판도 원하는 만큼의 전력을 사용하려면 그 만큼의 비싼 비용을 지불해야 하는 현실에 있다. 게다가 북한 전체 전력에서 재생 에너지가 차지하는 비중은 여전히 수치를 따질 수도 없을 만큼 미미한 수준으로 조사되고 있고, 재생에너지의 특성상 만성적인 전력난 해결에 실질적으로 도움이 되기도 어렵다는 것이 전문가들의 분석이다. 올해 신년사에서도 김정은 위원장은 여전히 전력문제 해결을 주문하며 재생 에너지 개발을 언급했다. 남북관계의 훈풍이 불고 있는 현 시점에서는 세계적 수준의 남한 재생 에너지 기술과 함께 북한의 수요가 맞게 된다면 에너지 경협의 가능성도 제시되긴 하지만 이러한 기대가 현실화되기 위해서는 북한 당국이 스스로 처한 문제의 실마리부터 풀어야 한다는 평가이다. 북한의 만성적 전력난 해결을 위한 국제사회의 공조 실현도 결국 대북제재 해제를 바라는 북한의 비핵화 조치에 달려 있을 것이다.","만성적인 전력난, 태양열, 재생에너지 개발, 풍력에너지, 수력, 화력, 김정은 정권, 재생 에네르기법, 비핵화",2019.05.01,http://news.kbs.co.kr/news/view.do?ncd=4144979,KBS NEWS,KBS NEWS

















